protected_path	modified	status	notes
true	no		preexisting_protected_git_status_present
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
true	false		preexisting_or_unrelated_git_status
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
true	false		preexisting_or_unrelated_git_status
true	false		preexisting_or_unrelated_git_status
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
false	false		
true	false		preexisting_or_unrelated_git_status
true	false		preexisting_or_unrelated_git_status
true	false		preexisting_or_unrelated_git_status
true	false		preexisting_or_unrelated_git_status
true	false		preexisting_or_unrelated_git_status
true	false		preexisting_or_unrelated_git_status
true	false		preexisting_or_unrelated_git_status
